Table 1
Aqcat,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6
"Ash Tray, Glass",ashtray,,,,,
"Knife, Boning",boner,,,,,
Loaf Pan,bread,,,,,
"Brush, Floor",broom,,,,,
Butane Torch,burner,,,,,
"Cart, Bussing Utility Transport, Metal",bus,,,,,
"Cart /  Dolly, Dish",caddy,caddie,cart,poker,chip,caddies
Springform Pan,cake,,,,,
Chafing Dish,chafer,,,,,
Chafing Dish Box,chafer,,,,,
Chafing Dish Cover,chafer,,,,,
Chafing Dish Cover,chafer,,,,,
Chafing Dish Frame / Stand,chafer,,,,,
Chafing Dish Fuel,chafer,,,,,
"Chafing Dish, Parts & Accessories",chafer,,,,,
Chafing Dish/Coffee Urn Heater,chafer,,,,,
"Booster Seat, Plastic",chair,child,,,,
Fruit / Vegetable Dicer,chopper,,,,,
"Mug, China",coffee,,,,,
Airpot,coffee dispenser,,,,,
Food Pan Drain Tray,colander,strainer,,,,
Drink Bar Mix Pourer Complete Unit,container,,,,,
Drink Bar Mix Pourer Jar,container,dispenser,,,,
Drink Bar Mix Pourer Neck,container,dispenser,,,,
Drink Bar Mix Pourer Spout,container,dispenser,,,,
"Fork, Cook's",cooks,carving,,,,
"Knife, Chef",cooks,,,,,
Table Crumber,crumb,sweeper,,,,
Napkin Holder,dispenser,,,,,
Snail Dish,escargot,,,,,
"Cabinet, Enclosed, Bun / Food Pan",food box,,,,,
Fry Pan,frying,,,,,
"Glass, Hi Ball",hiball,,,,,
"Steam Table Pan Cover, Stainless Steel",hotel,,,,,
"Steam Table Pan, Stainless Steel",hotel,,,,,
Tray Stand,jack,,,,,
"Food Storage Container, Box",lexan,,,,,
"Food Storage Container, Box Cover Lid",lexan,,,,,
Citrus Squeezer,lime,lemon,,,,
Check Minder Ticket Holder / Rail,order,rack,check,,,
"Brush, Basting",pastry brush,,,,,
Pepper Mill,peppermill,grinder,,,,
"Creamer, Metal",pitcher,,,,,
Food Processing Machine,processor,,,,,
Roasting Pan,roaster,,,,,
"Glass, Old Fashioned / Rocks",rock,,,,,
Bucket,sanitizer,pail,,,,
Kitchen Shears,scissors,,,,,
"Disher, Special Shape Bowl",scoop,,,,,
"Disher, Standard Round Bowl",scoop,,,,,
Fruit / Vegetable Wedger,sectionizer,,,,,
Fruit / Vegetable Wedger Parts,sectionizer,,,,,
"Cart, Dining Room Service / Display",serving,waiters,service,,,
"Shelving Unit, Plastic with Metal Post",shelf,,,,,
"Shelving Unit, Wine / Beverage",shelf,,,,,
"Shelving Unit, Wire",shelf,,,,,
Shelving Upright,shelf,,,,,
"Shelving, 3-Sided Frame",shelf,,,,,
"Shelving, 3-Sided Frame",shelf,,,,,
"Shelving, All Plastic",shelf,,,,,
"Shelving, Plastic with Metal Frame",shelf,,,,,
"Shelving, Wall Mounted",shelf,,,,,
"Shelving, Wire",shelf,,,,,
Baking Mat,silpat,bake mat,,,,
"Escargot Plate, China",snail,,,,,
"Turner, Perforated, Stainless Steel",spatula,,,,,
"Turner, Slotted, Plastic",spatula,,,,,
"Turner, Slotted, Stainless Steel",spatula,,,,,
"Turner, Solid, Plastic",spatula,,,,,
"Turner, Solid, Stainless Steel",spatula,,,,,
"Pan Rack, Bun",speed,,,,,
"Pan Rack, Bun, Nesting",speed,,,,,
"Pan Rack, Food Pans",speed,,,,,
"Pan Rack, Pizza",speed,,,,,
"Pan Rack, Universal",speed,,,,,
Fruit / Vegetable Turning Slicer,spiral,,,,,
Cake Decorating Tube Tips,star,pastry,,,,
"Mixer, Hand Immersion",stick,,,,,
"Mixer, Hand Parts & Accessories",stick,,,,,
"Mixer, Hand, Attachments",stick,,,,,
Mixing Paddle,stirring,stir,,,,
Colander,strainer,,,,,
Food Pan Colander,strainer,,,,,
"Cups, China",teacup,coffee,,,,
"Tongs, Ice / Pom",tong,,,,,
"Tongs, Scissor",tong,,,,,
"Tongs, Serving",tong,,,,,
"Tongs, Serving / Utility, Plastic",tong,,,,,
"Tongs, Snail / Escargot",tong,,,,,
"Tongs, Spaghetti",tong,,,,,
"Tongs, Sugar",tong,,,,,
"Tongs, Tweezer",tong,,,,,
"Tongs, Utility",tong,,,,,
Bus Box / Tub,tote,,,,,
Bus Box / Tub Cover,tote,,,,,
"Cart, Queen Mary",transport,,,,,
"Cart, Utility/Bussing",transport,,,,,
"Whipping Siphon / Dispenser, Parts & Accessories",whipped,,,,,
Corkscrew,wine opener,,,,,
